source	target	weight	resources	references	sign_decision
MYC	TERT	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;HTRI_CollecTRI;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10022128;CollecTRI:10491298;CollecTRI:10606235;CollecTRI:10637317;CollecTRI:10723141;CollecTRI:10786671;CollecTRI:10914736;CollecTRI:11274400;CollecTRI:11279234;CollecTRI:11287602;CollecTRI:11435602;CollecTRI:11606399;CollecTRI:11916966;CollecTRI:12044867;CollecTRI:12646176;CollecTRI:12695333;CollecTRI:12802280;CollecTRI:12807729;CollecTRI:12821782;CollecTRI:12941894;CollecTRI:12970752;CollecTRI:14519204;CollecTRI:14563552;CollecTRI:14611815;CollecTRI:14612409;CollecTRI:14744757;CollecTRI:15226182;CollecTRI:15371341;CollecTRI:15595642;CollecTRI:15655249;CollecTRI:15665468;CollecTRI:15958520;CollecTRI:16205635;CollecTRI:16287840;CollecTRI:16402390;CollecTRI:16489011;CollecTRI:16785237;CollecTRI:16880523;CollecTRI:17070091;CollecTRI:17141225;CollecTRI:17706770;CollecTRI:17934056;CollecTRI:17942561;CollecTRI:17967894;CollecTRI:18093727;CollecTRI:18158869;CollecTRI:18226852;CollecTRI:18365874;CollecTRI:18367227;CollecTRI:18586674;CollecTRI:18754863;CollecTRI:18818322;CollecTRI:19003324;CollecTRI:19047367;CollecTRI:19148473;CollecTRI:19360348;CollecTRI:19649288;CollecTRI:19762557;CollecTRI:19787269;CollecTRI:19806010;CollecTRI:19912441;CollecTRI:20454512;CollecTRI:20723213;CollecTRI:21132266;CollecTRI:21553143;CollecTRI:21627565;CollecTRI:21807113;CollecTRI:21855630;CollecTRI:21995449;CollecTRI:22207128;CollecTRI:23759068;CollecTRI:23860446;CollecTRI:24705139;CollecTRI:9988278	PMID
SPI1	BGLAP	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10022617	default activation
SMAD3	JUN	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10022869;CollecTRI:12374795	PMID
SMAD4	JUN	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10022869;CollecTRI:12374795	PMID
STAT5A	IL2	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10022878;CollecTRI:11435608;CollecTRI:17182565;CollecTRI:17911616;CollecTRI:22854263;CollecTRI:24550509;CollecTRI:24587342;CollecTRI:7479881;CollecTRI:8683106;CollecTRI:8943338;CollecTRI:9121484;CollecTRI:9817603	default activation
STAT5B	IL2	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10022878	regulon
RELA	FAS	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10022897;CollecTRI:10871852;CollecTRI:11290773;CollecTRI:11473033;CollecTRI:16317104;CollecTRI:16784892;CollecTRI:19628709;CollecTRI:22669972;CollecTRI:23604035;CollecTRI:9733827	PMID
WT1	NR0B1	1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	CollecTRI:10022915;CollecTRI:12151099	PMID
NR0B2	CASP1	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10022928	default activation
SP1	ALDOA	1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI	CollecTRI:10023068;CollecTRI:8524331	PMID
TP53	IGF1R	-1.0	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10023442;CollecTRI:11001824;CollecTRI:12089352;CollecTRI:12444079;CollecTRI:15131018;CollecTRI:16181796;CollecTRI:17014845;CollecTRI:17097318;CollecTRI:17600529;CollecTRI:20633551;CollecTRI:22033326;CollecTRI:24205274;CollecTRI:8710868	PMID
ZBTB16	CCNA2	-1.0	CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10023668;CollecTRI:11920165;CollecTRI:14527952;CollecTRI:18504436;CollecTRI:20731660	PMID
ETV6	IL3	-1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10023677	PMID
RUNX1	IL3	-1.0	CollecTRI;CytReg_CollecTRI;DoRothEA-A_CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	CollecTRI:10023677;CollecTRI:11997340;CollecTRI:15735013;CollecTRI:20506188;CollecTRI:8180380;CollecTRI:9036972	PMID
RUNX1	RHD	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10023677	default activation
STAT1	CDKN1A	1.0	CollecTRI;ExTRI_CollecTRI;TFactS_CollecTRI;TRRUST_CollecTRI	CollecTRI:10023678;CollecTRI:10866323;CollecTRI:11162600;CollecTRI:12239594;CollecTRI:16449678;CollecTRI:20738848;CollecTRI:21307941;CollecTRI:22591439	PMID
STAT3	CDKN1A	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10023678;CollecTRI:11114718;CollecTRI:11773079;CollecTRI:12438313;CollecTRI:15063116;CollecTRI:15286705;CollecTRI:16923815;CollecTRI:18320073;CollecTRI:19329556;CollecTRI:19372587;CollecTRI:20654581;CollecTRI:21184768;CollecTRI:22328012;CollecTRI:23178160;CollecTRI:9694869	PMID
TP53	POLI	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10023689;CollecTRI:10913176	default activation
ETV4	GGT1	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10026114;CollecTRI:9209098	PMID
MTF1	MCAT	1.0	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI	CollecTRI:10026134;CollecTRI:10605938;CollecTRI:11551972;CollecTRI:12716893;CollecTRI:15378601;CollecTRI:16423564;CollecTRI:17363595;CollecTRI:18023887;CollecTRI:18230604;CollecTRI:20979157;CollecTRI:21870250;CollecTRI:23374901	PMID
CREB1	HMGCS2	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:10026135	PMID
FOXA2	GCG	1.0	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	CollecTRI:10026208;CollecTRI:11773447;CollecTRI:11875061;CollecTRI:15828872;CollecTRI:21824254;CollecTRI:7776982;CollecTRI:8164696;CollecTRI:9121428	default activation
NFATC2	GCG	1.0	CollecTRI;ExTRI_CollecTRI	CollecTRI:10026208	default activation
